"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match6.feature: [23] Fail when a node has the same variable in the same pattern","100","test_fail_when_a_node_has_the_same_variable_in_the_same_pattern_1[(a)-[r]-(p)-[]-(b), p = (s)-[]-(t), (t), (t)-[]-(b)]","tests.tck","Thu May 14 13:56:51 CST 2026","failed","Thu May 14 13:56:52 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier4.feature: [11] All quantifier with IS NULL predicate","21","test_all_quantifier_with_is_null_predicate[[34, 0, 8, 900]-false]","tests.tck","Thu May 14 13:59:41 CST 2026","passed","Thu May 14 13:59:41 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/boolean/Boolean4.feature: [4] Fail when using NOT on a non-boolean literal","32","test_fail_when_using_not_on_a_nonboolean_literal[{``: 0}]","tests.tck","Thu May 14 13:58:35 CST 2026","passed","Thu May 14 13:58:35 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal9.feature: [5] Should truncate time","17","test_should_truncate_time['minute'-localdatetime({year: 1984, month: 10, day: 11, hour: 12, minute: 31, second: 14, nanosecond: 645876123})-{nanosecond: 2}-'12:31:00.000000002Z']","tests.tck","Thu May 14 14:00:49 CST 2026","failed","Thu May 14 14:00:49 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier12.feature: [2] All quantifier is always true if the predicate is statically true and the list is not empty","140","test_all_quantifier_is_always_true_if_the_predicate_is_statically_true_and_the_list_is_not_empty","tests.tck","Thu May 14 13:59:25 CST 2026","broken","Thu May 14 13:59:26 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match2.feature: [10] Fail when a path has the same variable in a preceding MATCH","169","test_fail_when_a_path_has_the_same_variable_in_a_preceding_match_1[(x), (a)-[q]-(b), r = (s)-[p]->(t)<-[]-(b)]","tests.tck","Thu May 14 13:56:30 CST 2026","failed","Thu May 14 13:56:30 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/precedence/Precedence1.feature: [26] List predicate takes precedence over comparison operators in every combination of truth values","0","test_list_predicate_takes_precedence_over_comparison_operators_in_every_combination_of_truth_values[>]","tests.tck","Thu May 14 13:59:13 CST 2026","broken","Thu May 14 13:59:13 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/merge/Merge9.feature: [4] MERGE after WITH with predicate and WITH with aggregation","104","test_merge_after_with_with_predicate_and_with_with_aggregation","tests.tck","Thu May 14 13:57:22 CST 2026","failed","Thu May 14 13:57:22 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match2.feature: [11] Fail when a node has the same variable in the same pattern","60","test_fail_when_a_node_has_the_same_variable_in_the_same_pattern[(r)-[]-()-[r*]-()]","tests.tck","Thu May 14 13:56:31 CST 2026","failed","Thu May 14 13:56:31 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy2.feature: [12] Sort by a date expression in descending order","119","test_sort_by_a_date_expression_in_descending_order[a.date + duration({months: 1, days: 2}) DESCENDING]","tests.tck","Thu May 14 13:58:08 CST 2026","failed","Thu May 14 13:58:08 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/create/Create4.feature: [2] Many CREATE clauses","83","test_many_create_clauses","tests.tck","Thu May 14 13:56:09 CST 2026","failed","Thu May 14 13:56:09 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal10.feature: [2] Should compute duration between two temporals","39","test_should_compute_duration_between_two_temporals[localtime('14:30')-date('2015-06-24')-'PT-14H-30M']","tests.tck","Thu May 14 14:00:06 CST 2026","failed","Thu May 14 14:00:06 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy1.feature: [25] Sort by an integer variable projected from a node property in ascending order","154","test_sort_by_an_integer_variable_projected_from_a_node_property_in_ascending_order[num ASC]","tests.tck","Thu May 14 13:57:54 CST 2026","passed","Thu May 14 13:57:54 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/merge/Merge2.feature: [1] Merge node with label add label on create","141","test_merge_node_with_label_add_label_on_create","tests.tck","Thu May 14 13:57:14 CST 2026","broken","Thu May 14 13:57:14 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal1.feature: [3] Should construct week datetime","31","test_should_construct_week_datetime[{year: 1818, week: 1}-'1817-12-29T00:00Z']","tests.tck","Thu May 14 13:59:55 CST 2026","broken","Thu May 14 13:59:55 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier8.feature: [2] All quantifier can nest itself and other quantifiers on the same list","11","test_all_quantifier_can_nest_itself_and_other_quantifiers_on_the_same_list[none(y IN list WHERE x = y)-false]","tests.tck","Thu May 14 13:59:45 CST 2026","passed","Thu May 14 13:59:45 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal9.feature: [1] Should truncate date","19","test_should_truncate_date['century'-localdatetime({year: 1984, month: 10, day: 11, hour: 12, minute: 31, second: 14, nanosecond: 645876123})-{day: 2}-'1900-01-02']","tests.tck","Thu May 14 14:00:36 CST 2026","failed","Thu May 14 14:00:36 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier1.feature: [11] None quantifier with IS NULL predicate","58","test_none_quantifier_with_is_null_predicate[[34, 0, null, 8, null]-false]","tests.tck","Thu May 14 13:59:22 CST 2026","passed","Thu May 14 13:59:22 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match6.feature: [23] Fail when a node has the same variable in the same pattern","65","test_fail_when_a_node_has_the_same_variable_in_the_same_pattern_1[p = (p)-[]-()]","tests.tck","Thu May 14 13:56:50 CST 2026","failed","Thu May 14 13:56:50 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/set/Set5.feature: [3] Retain old values when using +=","173","test_retain_old_values_when_using_","tests.tck","Thu May 14 13:57:43 CST 2026","broken","Thu May 14 13:57:44 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/neo4j/PatternExpressionAcceptance.feature: [25] Nested pattern comprehensions 2","222","test_nested_pattern_comprehensions_2","tests.tck","Thu May 14 14:01:28 CST 2026","broken","Thu May 14 14:01:28 CST 2026","","test_neo4j","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy3.feature: [8] Fail on sorting by any number of undefined variables in any position","18","test_fail_on_sorting_by_any_number_of_undefined_variables_in_any_position[a, c, e-mixed]","tests.tck","Thu May 14 13:58:22 CST 2026","failed","Thu May 14 13:58:22 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/aggregation/Aggregation2.feature: [1] `max()` over integers","9","test_max_over_integers","tests.tck","Thu May 14 13:58:29 CST 2026","broken","Thu May 14 13:58:29 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match2.feature: [12] Fail when a path has the same variable in the same pattern","45","test_fail_when_a_path_has_the_same_variable_in_the_same_pattern_1[r = (a)-[p]-(s)-[*]-(b), (s)-[]-(t), (t), (t)-[r*]-(b)]","tests.tck","Thu May 14 13:56:32 CST 2026","failed","Thu May 14 13:56:32 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal9.feature: [2] Should truncate datetime","26","test_should_truncate_datetime['millennium'-localdatetime({year: 2017, month: 10, day: 11, hour: 12, minute: 31, second: 14, nanosecond: 645876123})-{}-'2000-01-01T00:00Z']","tests.tck","Thu May 14 14:00:39 CST 2026","failed","Thu May 14 14:00:40 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/neo4j/UnwindAcceptance.feature: [5] Nested type support with mixed list and map literals with projection","177","test_nested_type_support_with_mixed_list_and_map_literals_with_projection","tests.tck","Thu May 14 14:01:41 CST 2026","broken","Thu May 14 14:01:41 CST 2026","","test_neo4j","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier5.feature: [4] None quantifier is equal the all quantifier on the boolean negative of the predicate","47","test_none_quantifier_is_equal_the_all_quantifier_on_the_boolean_negative_of_the_predicate[x = 2]","tests.tck","Thu May 14 13:59:42 CST 2026","passed","Thu May 14 13:59:42 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal1.feature: [10] Should construct date time with named time zone","15","test_should_construct_date_time_with_named_time_zone[{year: 1984, quarter: 3, dayOfQuarter: 45, hour: 12, timezone: 'Europe/Stockholm'}-'1984-08-14T12:00+02:00[Europe/Stockholm]']","tests.tck","Thu May 14 14:00:05 CST 2026","broken","Thu May 14 14:00:05 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/list/List1.feature: [7] Fail when indexing a non-list given by a parameter","14","test_fail_when_indexing_a_nonlist_given_by_a_parameter['1'-string]","tests.tck","Thu May 14 13:58:54 CST 2026","failed","Thu May 14 13:58:54 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/list/List1.feature: [9] Fail when indexing with a non-integer given by a parameter","21","test_fail_when_indexing_with_a_noninteger_given_by_a_parameter[{x: 3}-map]","tests.tck","Thu May 14 13:58:54 CST 2026","failed","Thu May 14 13:58:54 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/return-orderby/ReturnOrderBy1.feature: [8] ORDER BY DESC should order floats in the expected order","82","test_order_by_desc_should_order_floats_in_the_expected_order","tests.tck","Thu May 14 13:57:35 CST 2026","passed","Thu May 14 13:57:36 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/neo4j/IndexAcceptance.feature: [7] Merge with an index must properly handle multiple labels","298","test_merge_with_an_index_must_properly_handle_multiple_labels","tests.tck","Thu May 14 14:01:08 CST 2026","broken","Thu May 14 14:01:08 CST 2026","","test_neo4j","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/boolean/Boolean2.feature: [8] Fail on disjunction of at least one non-booleans","27","test_fail_on_disjunction_of_at_least_one_nonbooleans[false-{}]","tests.tck","Thu May 14 13:58:33 CST 2026","failed","Thu May 14 13:58:33 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier11.feature: [4] Any quantifier is always equal the boolean negative of the none quantifier","41","test_any_quantifier_is_always_equal_the_boolean_negative_of_the_none_quantifier[x = 2]","tests.tck","Thu May 14 13:59:24 CST 2026","passed","Thu May 14 13:59:24 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier2.feature: [4] Single quantifier on list literal containing floats","24","test_single_quantifier_on_list_literal_containing_floats[[1.1, 3.5]-x = 2.1-false]","tests.tck","Thu May 14 13:59:28 CST 2026","passed","Thu May 14 13:59:28 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/neo4j/OrderByAcceptance.feature: [10] ORDER BY node problem","200","test_order_by_node_problem","tests.tck","Thu May 14 14:01:23 CST 2026","broken","Thu May 14 14:01:23 CST 2026","","test_neo4j","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/delete/Delete6.feature: [7] Aggregating in `WITH` after deleting nodes affects the result set but not the side effects","87","test_aggregating_in_with_after_deleting_nodes_affects_the_result_set_but_not_the_side_effects","tests.tck","Thu May 14 13:56:15 CST 2026","failed","Thu May 14 13:56:15 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier2.feature: [16] Fail single quantifier on type mismatch between list elements and predicate","45","test_fail_single_quantifier_on_type_mismatch_between_list_elements_and_predicate[['Clara']-x % 2 = 0]","tests.tck","Thu May 14 13:59:32 CST 2026","failed","Thu May 14 13:59:32 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match1.feature: [7] Fail when a relationship has the same variable in a preceding MATCH","140","test_fail_when_a_relationship_has_the_same_variable_in_a_preceding_match[()-[]-(), ()-[r]-()]","tests.tck","Thu May 14 13:56:17 CST 2026","failed","Thu May 14 13:56:18 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match3.feature: [30] Fail when using a list or nodes as a node","59","test_fail_when_using_a_list_or_nodes_as_a_node","tests.tck","Thu May 14 13:56:37 CST 2026","passed","Thu May 14 13:56:37 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy1.feature: [1] Sort booleans in ascending order","90","test_sort_booleans_in_ascending_order","tests.tck","Thu May 14 13:57:51 CST 2026","broken","Thu May 14 13:57:51 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match4.feature: [1] Handling fixed-length variable length pattern","154","test_handling_fixedlength_variable_length_pattern","tests.tck","Thu May 14 13:56:37 CST 2026","broken","Thu May 14 13:56:37 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier3.feature: [2] Any quantifier on list literal","13","test_any_quantifier_on_list_literal[[false, true, false]-x-true]","tests.tck","Thu May 14 13:59:32 CST 2026","passed","Thu May 14 13:59:32 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/unwind/Unwind1.feature: [11] Unwind does not prune context","15","test_unwind_does_not_prune_context","tests.tck","Thu May 14 13:57:48 CST 2026","passed","Thu May 14 13:57:48 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal1.feature: [10] Should construct date time with named time zone","18","test_should_construct_date_time_with_named_time_zone[{year: 1984, week: 10, dayOfWeek: 3, timezone: 'Europe/Stockholm'}-'1984-03-07T00:00+01:00[Europe/Stockholm]']","tests.tck","Thu May 14 14:00:04 CST 2026","broken","Thu May 14 14:00:04 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match6.feature: [23] Fail when a node has the same variable in the same pattern","86","test_fail_when_a_node_has_the_same_variable_in_the_same_pattern_1[(p)-[]-(), p = ()-[]-()]","tests.tck","Thu May 14 13:56:50 CST 2026","failed","Thu May 14 13:56:50 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy1.feature: [25] Sort by an integer variable projected from a node property in ascending order","141","test_sort_by_an_integer_variable_projected_from_a_node_property_in_ascending_order[num ASCENDING]","tests.tck","Thu May 14 13:57:54 CST 2026","failed","Thu May 14 13:57:54 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match-where/MatchWhere4.feature: [2] Join with disjunctive multi-part predicates including patterns","243","test_join_with_disjunctive_multipart_predicates_including_patterns","tests.tck","Thu May 14 13:57:09 CST 2026","broken","Thu May 14 13:57:09 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy1.feature: [28] Sort by a float variable projected from a node property in descending order","143","test_sort_by_a_float_variable_projected_from_a_node_property_in_descending_order[num DESC]","tests.tck","Thu May 14 13:57:55 CST 2026","passed","Thu May 14 13:57:55 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/create/Create2.feature: [19] Fail when creating a relationship without a direction","30","test_fail_when_creating_a_relationship_without_a_direction","tests.tck","Thu May 14 13:56:07 CST 2026","failed","Thu May 14 13:56:07 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/match/Match6.feature: [25] Fail when matching a path variable bound to a value","66","test_fail_when_matching_a_path_variable_bound_to_a_value[123]","tests.tck","Thu May 14 13:56:54 CST 2026","failed","Thu May 14 13:56:54 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier4.feature: [5] All quantifier on list literal containing strings","92","test_all_quantifier_on_list_literal_containing_strings[[]-size(x) = 3-true]","tests.tck","Thu May 14 13:59:39 CST 2026","passed","Thu May 14 13:59:39 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/useCases/triadicSelection/TriadicSelection1.feature: [5] Handling triadic friend of a friend that is not a friend with implicit subset of relationship type","0","test_handling_triadic_friend_of_a_friend_that_is_not_a_friend_with_implicit_subset_of_relationship_type","tests.tck","Thu May 14 14:01:45 CST 2026","broken","Thu May 14 14:01:45 CST 2026","","test_use_cases","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal3.feature: [11] Should datetime into date time","55","test_should_datetime_into_date_time[datetime({year: 1984, month: 10, day: 11, hour: 12, timezone: 'Europe/Stockholm'})-{datetime: other, timezone: '+05:00'}-'1984-10-11T16:00+05:00']","tests.tck","Thu May 14 14:00:26 CST 2026","failed","Thu May 14 14:00:26 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/map/Map1.feature: [6] Fail when performing property access on a non-map","36","test_fail_when_performing_property_access_on_a_nonmap[[123, true]]","tests.tck","Thu May 14 13:59:03 CST 2026","failed","Thu May 14 13:59:03 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/clauses/with-orderBy/WithOrderBy1.feature: [31] Sort by a list variable projected from a node property in ascending order","183","test_sort_by_a_list_variable_projected_from_a_node_property_in_ascending_order[list]","tests.tck","Thu May 14 13:57:56 CST 2026","broken","Thu May 14 13:57:56 CST 2026","","test_clauses","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal10.feature: [4] Should compute duration between two temporals in days","36","test_should_compute_duration_between_two_temporals_in_days[localtime('14:30')-datetime('2015-07-21T21:40:32.142+0100')-'PT0S']","tests.tck","Thu May 14 14:00:09 CST 2026","failed","Thu May 14 14:00:09 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/quantifier/Quantifier3.feature: [7] Any quantifier on list literal containing maps","18","test_any_quantifier_on_list_literal_containing_maps[[{a: 2, b: 5}, {a: 4}]-x.a = 2-true]","tests.tck","Thu May 14 13:59:34 CST 2026","passed","Thu May 14 13:59:34 CST 2026","","test_expressions","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/neo4j/ConstraintAcceptance.feature: [8] Should create on merge using multiple unique indexes if found no nodes","258","test_should_create_on_merge_using_multiple_unique_indexes_if_found_no_nodes","tests.tck","Thu May 14 14:01:02 CST 2026","broken","Thu May 14 14:01:02 CST 2026","","test_neo4j","",""
"/Users/dpp/*project/newdb/cyphertck/gdm-tck/features/0-original/expressions/temporal/Temporal1.feature: [2] Should construct week localdatetime","35","test_should_construct_week_localdatetime[{year: 1818, week: 52}-'1818-12-21T00:00']","tests.tck","Thu May 14 13:59:55 CST 2026","broken","Thu May 14 13:59:55 CST 2026","","test_expressions","",""
